id,x,y
1,1373,1793
2,1841,1823
3,2027,1791
4,2096,1822
5,2808,1815
6,2984,1841
7,1074,1601
8,1205,1605
9,1305,1562
10,1448,1566
11,1490,1642
12,1760,1606
13,2042,1569
14,2036,1663
15,2199,1567
16,2446,1637
17,2571,1665
18,2736,1604
19,2761,1693
20,2893,1630
21,1485,1479
22,1744,1491
23,1908,1484
24,1199,1366
25,1364,1320
26,1333,1409
27,1402,1431
28,1544,1272
29,1718,1371
30,1821,1282
31,1965,1255
32,2093,1269
33,2043,1374
34,2255,1404
35,2386,1448
36,2442,1273
37,2613,1283
38,2621,1446
39,2759,1337
40,2822,1485
41,3009,1509
42,1064,1175
43,1204,1071
44,1330,1061
45,1481,1035
46,1613,1129
47,1792,1116
48,2025,1119
49,2186,1192
50,2323,1100
51,2614,1113
52,2957,1130
53,3129,1181
54,864,808
55,1102,943
56,1224,793
57,1443,844
58,1559,941
59,1627,758
60,1751,939
61,1929,719
62,2154,828
63,2303,663
64,2342,883
65,2562,795
66,2533,961
67,2776,1014
68,2817,633
69,2912,814
70,3155,1017
71,3267,683
72,722,406
73,838,421
74,989,378
75,1211,379
76,1412,383
77,1557,401
78,2554,398
79,2679,267
80,2934,380
81,3194,356
82,3375,390
83,3550,390
