id,x,y
1,552,1563
2,875,1690
3,1017,1563
4,1186,1576
5,1510,1552
6,1724,1552
7,1855,1624
8,2089,1625
9,2231,1579
10,2482,1603
11,2727,1615
12,697,1447
13,915,1465
14,1132,1384
15,1335,1406
16,1489,1403
17,1707,1404
18,1935,1503
19,2099,1400
20,2256,1461
21,2411,1429
22,2652,1449
23,2914,1422
24,639,1252
25,907,1296
26,1274,1284
27,1500,1244
28,1778,1277
29,2060,1258
30,2266,1267
31,2408,1309
32,2606,1279
33,2758,1258
34,828,1152
35,990,1200
36,507,1035
37,747,1016
38,969,1076
39,1145,1116
40,1331,1153
41,1421,1035
42,1583,978
43,1690,1130
44,1911,1115
45,1923,966
46,2098,1067
47,2265,1101
48,2425,1199
49,2578,1127
50,2396,1008
51,2848,1087
52,2757,942
53,582,854
54,861,910
55,1029,934
56,1225,876
57,1475,841
58,1705,855
59,1937,790
60,2208,876
61,2463,897
62,2456,799
63,2670,791
64,575,681
65,748,762
66,951,758
67,593,504
68,743,578
69,882,591
70,1115,657
71,1339,725
72,1525,702
73,1754,680
74,2034,665
75,2194,664
76,2389,696
77,2551,638
78,2810,636
79,862,431
80,1074,481
81,1235,545
82,1442,536
83,1645,577
84,1882,578
85,2102,524
86,2250,469
87,2456,529
88,2662,452
89,1336,381
90,1538,427
91,1768,429
92,1981,430
93,538,204
94,761,203
95,911,255
96,1049,217
97,1162,247
98,1285,229
99,1410,190
100,1534,265
101,1705,202
102,1932,258
103,2076,195
104,2161,263
105,2325,216
106,2536,266
107,2673,257
108,2792,251
109,2947,221
