route_id;route_name;specials;holds;grade;setter;date_set;comments;feet
1;Sandstone Warm Up;1, 26, 94;65, 82;6A;Tom;27/01/2026;;[]
2;Granite Warm Up;22, 29, 108;49, 76;6A;Tom;27/01/2026;;[]
3;Blue Pop Right;7, 33, 108;60;6A;Tom;27/01/2026;Set feet to start then don't move for dyno to top;[]
4;Blue Pop Left;1, 5, 93;24, 56;6A;Tom;27/01/2026;Set feet to start then don't move for dyno to top;[]
5;37.1;21, 16, 100;42, 75, 81;6A+;Tom;27/01/2026;;[]
6;Straight Up The Left ;1, 2, 97;38, 36, 67;5+;Tom;08/02/2026;;[]
7;Straight Up The Right;8, 9, 103;30, 44, 87, 83;5+;Tom;08/02/2026;;[]
8;2 Move Wonder;3, 5, 97;73;5+;Tom;08/02/2026;;[]
9;L Shoulder R Fingers;18, 3, 94;35, 40, 53, 81;6A+;Tom;08/02/2026;;[]
10;Morpho?;15, 12, 106;65, 84, 82;6A+;Tom;08/02/2026;No Match Or Reuse;[]
11;Got To Drop Before You Can Pop;13, 109;28, 27, 60, 58, 51;6B;Tom;08/02/2026;Green Feet. Reuse but don't match;[]
12;Leading Lefty;21, 95;42, 59, 68;6B+;Tom;08/02/2026;Green feet;[]
13;Un-Nature-Al Selection;26, 12, 49;65, 82, 29, 76;6B;Tom;08/02/2026;Reuse, don't match (clock-ish);[]
14;Captain Obvious;20, 31, 104;46, 62, 74;PROJECT;Tom;04/03/2026;Yellow Feet;[]
15;Why Does It Start Over There;12, 6, 101;16, 75;6B+;Tom;04/03/2026;Does it work with green feet?;[]
16;Bottom To Top;4, 5, 99;;6A;Tom;04/03/2026;Set feet;[(1565, 2494), (1068, 2785)]
17;Lanky;14, 15, 96;91;6B;Tom;04/03/2026;Yellow feet;[]
18;Testpiece;12, 15, 106;43, 92, 77;PROJECT;Tom;04/03/2026;No matching;[]
19;Need To Be Warm-Ish;6, 21, 97;60, 56, 92;6B;Tom;10/03/2026;;[]
20;Testpiece Lite;12, 15, 106;27, 76, 92;6B+;Tom;10/03/2026;;[]
21;Ukraine;1, 5, 101;24, 56, 80;6A+;Tom;10/03/2026;Yellow feet;[]
